name,Accuracy,F1,Prec.,Recall,MCC
2021-03-31.YassourM_2018.relative_abundance.family_role.tsv,0.9787,0.9785,0.9801,0.9787,0.9575
2021-03-31.YassourM_2018.relative_abundance.feeding_practice.tsv,0.8095,0.8063,0.8274,0.8095,0.6339
2021-03-31.YeZ_2018.relative_abundance.study_condition.tsv,0.7778,0.7573,0.7853,0.7778,0.4591
2021-03-31.YuJ_2015.relative_abundance.age_category.tsv,0.6294,0.4865,0.3967,0.6294,0.0
2021-03-31.YuJ_2015.relative_abundance.ever_smoker.tsv,0.6873,0.5602,0.473,0.6873,0.0
2021-03-31.YuJ_2015.relative_abundance.gender.tsv,0.6294,0.4865,0.3967,0.6294,0.0
2021-03-31.YuJ_2015.relative_abundance.study_condition.tsv,0.7863,0.7839,0.7991,0.7863,0.5734
2021-03-31.ZeeviD_2015.relative_abundance.gender.tsv,0.6413,0.6415,0.6449,0.6413,0.254
2021-03-31.ZellerG_2014.relative_abundance.age_category.tsv,0.587,0.4343,0.3446,0.587,0.0
2021-03-31.ZellerG_2014.relative_abundance.gender.tsv,0.6333,0.6228,0.6328,0.6333,0.2453
2021-03-31.ZhuF_2020.relative_abundance.disease_subtype.tsv,0.5513,0.5423,0.546,0.5513,0.083
2021-03-31.ZhuF_2020.relative_abundance.gender.tsv,0.7054,0.7027,0.717,0.7054,0.4234
2021-03-31.ZhuF_2020.relative_abundance.study_condition.tsv,0.7225,0.7187,0.7355,0.7225,0.4554
2021-04-02.ChuDM_2017.relative_abundance.gender.tsv,0.7218,0.7212,0.7367,0.7218,0.4225
2021-04-02.PehrssonE_2016.relative_abundance.country.tsv,0.9852,0.9849,0.9868,0.9852,0.9706
2021-04-02.PehrssonE_2016.relative_abundance.gender.tsv,0.6558,0.6532,0.6646,0.6558,0.3214
2021-04-02.PehrssonE_2016.relative_abundance.location.tsv,0.9701,0.9697,0.9726,0.9701,0.9402
2021-10-14.BackhedF_2015.relative_abundance.gender.tsv,0.7052,0.5833,0.4973,0.7052,0.0
2021-10-14.BrooksB_2017.relative_abundance.born_method.tsv,0.8616,0.8627,0.8766,0.8616,0.6993
2021-10-14.BrooksB_2017.relative_abundance.gender.tsv,0.8335,0.8349,0.845,0.8335,0.67
2021-10-14.ChengpingW_2017.relative_abundance.gender.tsv,0.5474,0.3875,0.3,0.5474,0.0
2021-10-14.ChengpingW_2017.relative_abundance.treatment.tsv,0.6545,0.647,0.6643,0.6545,0.3111
2021-10-14.CosteaPI_2017.relative_abundance.country.tsv,0.8923,0.8933,0.9008,0.8923,0.7844
2021-10-14.CosteaPI_2017.relative_abundance.gender.tsv,0.671,0.6656,0.6773,0.671,0.33
2021-10-14.HMP_2019_ibdmdb.relative_abundance.disease_subtype.tsv,0.8952,0.8947,0.8956,0.8952,0.7821
2021-10-14.HMP_2019_ibdmdb.relative_abundance.gender.tsv,0.8368,0.8366,0.8382,0.8368,0.675
2021-10-14.HallAB_2017.relative_abundance.disease_subtype.tsv,0.9538,0.9531,0.9604,0.9538,0.913
2021-10-14.HallAB_2017.relative_abundance.location.tsv,0.9557,0.9556,0.9581,0.9557,0.9037
2021-10-14.HansenLBS_2018.relative_abundance.gender.tsv,0.8616,0.8568,0.8799,0.8616,0.7333
2021-10-14.HansenLBS_2018.relative_abundance.uncurated_metadata.tsv,0.5342,0.5272,0.5333,0.5342,0.0652
2021-10-14.IjazUZ_2017.relative_abundance.remission.tsv,0.8667,0.8639,0.9039,0.8667,0.7508
2021-10-14.IjazUZ_2017.relative_abundance.study_condition.tsv,0.9385,0.9386,0.9515,0.9385,0.8858
2021-10-14.JieZ_2017.relative_abundance.gender.tsv,0.6653,0.6649,0.6655,0.6653,0.3053
2021-10-14.JieZ_2017.relative_abundance.smoker.tsv,0.7,0.5794,0.497,0.7,0.0
2021-10-14.JieZ_2017.relative_abundance.study_condition.tsv,0.7512,0.7507,0.7727,0.7512,0.5238
2021-10-14.KieserS_2018.relative_abundance.location.tsv,0.9333,0.9067,0.8889,0.9333,0.8
2021-10-14.KieserS_2018.relative_abundance.study_condition.tsv,1.0,1.0,1.0,1.0,1.0
2021-10-14.LiuW_2016.relative_abundance.non_westernized.tsv,0.6767,0.6531,0.6766,0.6767,0.3135
2021-10-14.LokmerA_2019.relative_abundance.gender.tsv,0.6179,0.5903,0.689,0.6179,0.2765
2021-10-14.MatsonV_2018.relative_abundance.anti_PD_1.tsv,0.66,0.6298,0.6533,0.66,0.2334
2021-10-14.NagySzakalD_2017.relative_abundance.study_condition.tsv,0.7143,0.7081,0.7289,0.7143,0.4427
2021-10-14.OhJ_2014.relative_abundance.gender.tsv,0.82,0.8201,0.844,0.82,0.6624
2021-10-14.PehrssonE_2016.relative_abundance.country.tsv,0.9852,0.9849,0.9868,0.9852,0.9706
2021-10-14.PehrssonE_2016.relative_abundance.gender.tsv,0.6712,0.6667,0.6847,0.6712,0.3569
2021-10-14.PehrssonE_2016.relative_abundance.location.tsv,0.9852,0.9849,0.9868,0.9852,0.9706
2021-10-14.QinJ_2012.relative_abundance.gender.tsv,0.5542,0.547,0.556,0.5542,0.0973
2021-10-14.QinJ_2012.relative_abundance.study_condition.tsv,0.6833,0.6812,0.6915,0.6833,0.3747
2021-10-14.RubelMA_2020.relative_abundance.gender.tsv,0.6643,0.6599,0.6662,0.6643,0.3185
2021-10-14.RubelMA_2020.relative_abundance.study_condition.tsv,0.8283,0.8259,0.8352,0.8283,0.6622
2021-10-14.ShiB_2015.relative_abundance.study_condition.tsv,0.8238,0.8192,0.8607,0.8238,0.6804
2021-10-14.YachidaS_2019.relative_abundance.age_category.tsv,0.6916,0.6869,0.6934,0.6916,0.37
2021-10-14.YachidaS_2019.relative_abundance.gender.tsv,0.6473,0.6467,0.655,0.6473,0.2878
2022-04-13.FrankelAE_2017.relative_abundance.ORR.tsv,0.6267,0.4833,0.3938,0.6267,0.0
2022-04-13.FrankelAE_2017.relative_abundance.age_category.tsv,0.56,0.4033,0.316,0.56,0.0
2022-04-13.LeeKA_2022.relative_abundance.ORR.tsv,0.5874,0.4347,0.3451,0.5874,0.0
2022-04-13.LeeKA_2022.relative_abundance.PFS12.tsv,0.5263,0.5045,0.5465,0.5263,0.0697
2022-04-13.LeeKA_2022.relative_abundance.age_category.tsv,0.6084,0.5999,0.6225,0.6084,0.2262
2022-04-13.LeeKA_2022.relative_abundance.gender.tsv,0.6716,0.6571,0.6727,0.6716,0.3023
