name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
RubelMA_2020	0.76	0.75	0.76	0.76	0.51	0.80	0.79	0.80	0.80	0.60	0.74	0.74	0.75	0.74	0.49	0.83	0.83	0.84	0.83	0.66	0.85	0.85	0.86	0.85	0.71
KieserS_2018	0.90	0.90	0.97	0.90	0.87	0.93	0.91	0.89	0.93	0.80	0.83	0.79	0.78	0.83	0.52	0.93	0.91	0.89	0.93	0.80	0.97	0.96	0.97	0.97	0.93
JieZ_2017	0.68	0.68	0.69	0.68	0.37	0.67	0.67	0.67	0.67	0.33	0.68	0.68	0.69	0.68	0.36	0.75	0.75	0.77	0.75	0.52	0.72	0.72	0.73	0.72	0.44
WirbelJ_2018	0.67	0.67	0.67	0.67	0.34	0.78	0.77	0.85	0.78	0.63	0.68	0.68	0.69	0.68	0.36	0.83	0.83	0.85	0.83	0.68	0.76	0.76	0.76	0.76	0.52
ChngKR_2016	0.89	0.89	0.91	0.89	0.80	0.59	0.58	0.60	0.59	0.18	0.78	0.78	0.80	0.78	0.58	0.74	0.73	0.78	0.74	0.51	0.85	0.84	0.86	0.85	0.71
RubelMA_2020	0.79	0.79	0.79	0.79	0.58	0.80	0.79	0.82	0.80	0.61	0.75	0.75	0.76	0.75	0.51	0.84	0.83	0.84	0.84	0.68	0.80	0.80	0.81	0.80	0.61
KieserS_2018	0.90	0.90	0.97	0.90	0.87	0.93	0.91	0.89	0.93	0.80	0.83	0.79	0.78	0.83	0.52	1.00	1.00	1.00	1.00	1.00	0.97	0.96	0.97	0.97	0.93
NagySzakalD_2017	0.69	0.68	0.70	0.69	0.38	0.71	0.71	0.72	0.71	0.43	0.70	0.69	0.75	0.70	0.44	0.71	0.71	0.73	0.71	0.44	0.76	0.76	0.76	0.76	0.52
ShiB_2015	0.91	0.91	0.94	0.91	0.86	0.79	0.78	0.85	0.79	0.63	0.88	0.88	0.90	0.88	0.77	0.85	0.85	0.90	0.85	0.74	0.90	0.90	0.91	0.90	0.81
TettAJ_2016	0.69	0.68	0.68	0.69	0.35	0.69	0.69	0.70	0.69	0.38	0.71	0.71	0.74	0.71	0.45	0.77	0.77	0.78	0.77	0.54	0.72	0.71	0.74	0.72	0.44
NagySzakalD_2017	0.67	0.67	0.69	0.67	0.36	0.73	0.71	0.78	0.73	0.50	0.69	0.68	0.71	0.69	0.40	0.71	0.71	0.72	0.71	0.43	0.75	0.75	0.76	0.75	0.51
ThomasAM_2019_c	0.61	0.60	0.61	0.61	0.21	0.70	0.68	0.77	0.70	0.46	0.73	0.73	0.74	0.73	0.48	0.73	0.72	0.77	0.73	0.49	0.69	0.68	0.70	0.69	0.38
IjazUZ_2017	0.97	0.97	0.97	0.97	0.94	0.83	0.83	0.86	0.83	0.68	0.95	0.95	0.96	0.95	0.91	0.94	0.94	0.95	0.94	0.89	0.96	0.96	0.96	0.96	0.91
QinJ_2012	0.64	0.64	0.64	0.64	0.28	0.66	0.66	0.66	0.66	0.33	0.70	0.70	0.70	0.70	0.40	0.66	0.66	0.66	0.66	0.33	0.68	0.68	0.69	0.68	0.37
