name	Acc_LRC	F1_LRC	Prec_LRC	Recall_LRC	MCC_LRC	Acc_DTC	F1_DTC	Prec_DTC	Recall_DTC	MCC_DTC	Acc_SVC	F1_SVC	Prec_SVC	Recall_SVC	MCC_SVC	Acc_RFC	F1_RFC	Prec_RFC	Recall_RFC	MCC_RFC	Acc_HDC	F1_HDC	Prec_HDC	Recall_HDC	MCC_HDC
2021-03-31.BritoIL_2016.relative_abundance.gender.tsv	0.67	0.67	0.67	0.67	0.34	0.59	0.58	0.59	0.59	0.17	0.66	0.65	0.66	0.66	0.31	0.60	0.59	0.59	0.60	0.18	0.65	0.65	0.66	0.65	0.30
2021-03-31.WirbelJ_2018.relative_abundance.age_category.tsv	0.77	0.73	0.81	0.77	0.43	0.69	0.63	0.67	0.69	0.16	0.75	0.72	0.74	0.75	0.35	0.73	0.73	0.73	0.73	0.37
2021-03-31.LiJ_2014.relative_abundance.disease_subtype.tsv	0.72	0.72	0.74	0.72	0.46	0.67	0.67	0.67	0.67	0.34	0.76	0.76	0.77	0.76	0.53	0.77	0.77	0.79	0.77	0.57	0.77	0.77	0.77	0.77	0.54
2021-03-31.FengQ_2015.relative_abundance.gender.tsv	0.60	0.59	0.60	0.60	0.19	0.60	0.58	0.58	0.60	0.15	0.61	0.60	0.61	0.61	0.21	0.70	0.68	0.67	0.70	0.35	0.68	0.68	0.70	0.68	0.37
2021-03-31.ShaoY_2019.relative_abundance.gender.tsv	0.53	0.53	0.53	0.53	0.06	0.53	0.44	0.51	0.53	0.08	0.54	0.53	0.53	0.54	0.07	0.55	0.55	0.55	0.55	0.10	0.57	0.56	0.57	0.57	0.13
2021-03-31.YachidaS_2019.relative_abundance.gender.tsv	0.64	0.64	0.64	0.64	0.26	0.60	0.57	0.60	0.60	0.22	0.68	0.67	0.67	0.68	0.32	0.64	0.64	0.65	0.64	0.28	0.66	0.66	0.68	0.66	0.33
2021-10-14.OhJ_2014.relative_abundance.gender.tsv	0.79	0.78	0.80	0.79	0.58	0.80	0.80	0.81	0.80	0.59	0.68	0.65	0.70	0.68	0.34	0.82	0.82	0.84	0.82	0.66	0.85	0.85	0.86	0.85	0.71
2021-10-14.LiuW_2016.relative_abundance.non_westernized.tsv	0.57	0.56	0.57	0.57	0.11	0.65	0.64	0.65	0.65	0.27	0.59	0.55	0.54	0.59	0.08	0.68	0.65	0.68	0.68	0.31	0.71	0.70	0.73	0.71	0.41
2021-03-31.ZellerG_2014.relative_abundance.gender.tsv	0.68	0.68	0.70	0.68	0.38	0.58	0.56	0.60	0.58	0.17	0.65	0.65	0.65	0.65	0.29	0.63	0.62	0.63	0.63	0.25	0.65	0.65	0.65	0.65	0.29
2021-03-31.QinJ_2012.relative_abundance.gender.tsv	0.53	0.53	0.54	0.53	0.06	0.55	0.40	0.31	0.55	0.00	0.58	0.56	0.57	0.58	0.13	0.55	0.40	0.31	0.55	0.00	0.61	0.61	0.61	0.61	0.22
2021-03-31.LifeLinesDeep_2016.relative_abundance.gender.tsv	0.62	0.61	0.61	0.62	0.20	0.58	0.43	0.34	0.58	0.00	0.61	0.60	0.61	0.61	0.18	0.62	0.62	0.63	0.62	0.23	0.63	0.64	0.64	0.63	0.27
2021-10-14.QinJ_2012.relative_abundance.study_condition.tsv	0.65	0.65	0.65	0.65	0.31	0.60	0.59	0.60	0.60	0.20	0.69	0.69	0.69	0.69	0.38	0.68	0.68	0.69	0.68	0.37	0.69	0.69	0.69	0.69	0.38
2021-03-31.VatanenT_2016.relative_abundance.age_category.tsv	0.80	0.80	0.81	0.80	0.59	0.80	0.80	0.80	0.80	0.57	0.81	0.81	0.81	0.81	0.60	0.85	0.85	0.85	0.85	0.68	0.85	0.85	0.85	0.85	0.69
2021-10-14.BrooksB_2017.relative_abundance.gender.tsv	0.83	0.83	0.83	0.83	0.64	0.82	0.81	0.84	0.82	0.64	0.80	0.79	0.80	0.80	0.57	0.83	0.83	0.84	0.83	0.67	0.75	0.75	0.75	0.75	0.47
2021-10-14.QinJ_2012.relative_abundance.gender.tsv	0.53	0.53	0.54	0.53	0.07	0.57	0.56	0.56	0.57	0.12	0.60	0.58	0.60	0.60	0.18	0.55	0.55	0.56	0.55	0.10	0.60	0.60	0.60	0.60	0.20
2021-03-31.JieZ_2017.relative_abundance.study_condition.tsv	0.66	0.66	0.66	0.66	0.31	0.67	0.67	0.67	0.67	0.33	0.68	0.68	0.68	0.68	0.35	0.74	0.74	0.75	0.74	0.49	0.75	0.74	0.75	0.75	0.49
2021-03-31.FerrettiP_2018.relative_abundance.age_category.tsv	0.88	0.88	0.88	0.88	0.75	0.77	0.77	0.77	0.77	0.51	0.82	0.82	0.84	0.82	0.64	0.84	0.83	0.86	0.84	0.67	0.91	0.91	0.92	0.91	0.82
2022-04-13.LeeKA_2022.relative_abundance.PFS12.tsv	0.63	0.63	0.64	0.63	0.27	0.53	0.51	0.51	0.53	0.03	0.58	0.58	0.58	0.58	0.16	0.53	0.50	0.55	0.53	0.07	0.66	0.64	0.68	0.66	0.33
2021-03-31.HallAB_2017.relative_abundance.location.tsv	0.93	0.93	0.93	0.93	0.84	0.89	0.89	0.90	0.89	0.78	0.90	0.90	0.91	0.90	0.78	0.96	0.96	0.96	0.96	0.90	0.95	0.95	0.95	0.95	0.88
2021-03-31.HMP_2019_ibdmdb.relative_abundance.disease_subtype.tsv	0.84	0.84	0.84	0.84	0.66	0.78	0.78	0.78	0.78	0.54	0.77	0.77	0.78	0.77	0.53	0.89	0.89	0.89	0.89	0.77	0.77	0.77	0.78	0.77	0.54
2021-03-31.YuJ_2015.relative_abundance.age_category.tsv	0.49	0.47	0.47	0.49	-0.13	0.63	0.49	0.40	0.63	0.00	0.66	0.63	0.69	0.66	0.27	0.63	0.49	0.40	0.63	0.00	0.67	0.67	0.67	0.67	0.30
2022-04-13.LeeKA_2022.relative_abundance.ORR.tsv	0.69	0.69	0.69	0.69	0.36	0.60	0.59	0.59	0.60	0.16	0.62	0.60	0.64	0.62	0.22	0.59	0.43	0.35	0.59	0.00	0.70	0.69	0.71	0.70	0.39
2021-03-31.YuJ_2015.relative_abundance.study_condition.tsv	0.70	0.70	0.71	0.70	0.40	0.69	0.68	0.74	0.69	0.42	0.72	0.72	0.73	0.72	0.44	0.79	0.78	0.80	0.79	0.57	0.65	0.65	0.65	0.65	0.28
2021-03-31.YassourM_2018.relative_abundance.feeding_practice.tsv	0.79	0.78	0.82	0.79	0.60	0.67	0.67	0.67	0.67	0.33	0.75	0.75	0.76	0.75	0.51	0.81	0.81	0.83	0.81	0.63	0.82	0.82	0.84	0.82	0.65
2021-03-31.QinN_2014.relative_abundance.study_condition.tsv	0.75	0.75	0.77	0.75	0.52	0.83	0.83	0.85	0.83	0.68	0.76	0.76	0.79	0.76	0.55	0.87	0.87	0.88	0.87	0.75	0.87	0.87	0.87	0.87	0.75
2021-03-31.ZellerG_2014.relative_abundance.age_category.tsv	0.63	0.62	0.64	0.63	0.25	0.59	0.43	0.34	0.59	0.00	0.63	0.62	0.63	0.63	0.22	0.59	0.43	0.34	0.59	0.00	0.66	0.65	0.66	0.66	0.30
2021-10-14.RubelMA_2020.relative_abundance.study_condition.tsv	0.76	0.75	0.76	0.76	0.51	0.80	0.79	0.80	0.80	0.60	0.74	0.74	0.75	0.74	0.49	0.83	0.83	0.84	0.83	0.66	0.85	0.85	0.86	0.85	0.71
2021-03-31.NielsenHB_2014.relative_abundance.gender.tsv	0.64	0.63	0.64	0.64	0.26	0.63	0.62	0.63	0.63	0.25	0.66	0.66	0.67	0.66	0.32	0.64	0.64	0.65	0.64	0.28	0.67	0.67	0.67	0.67	0.33
2021-03-31.GhensiP_2019.relative_abundance.history_of_periodontitis.tsv	0.63	0.63	0.64	0.63	0.26	0.62	0.59	0.59	0.62	0.16	0.56	0.54	0.53	0.56	0.05	0.62	0.62	0.63	0.62	0.23	0.68	0.67	0.67	0.68	0.32
2021-10-14.HansenLBS_2018.relative_abundance.gender.tsv	0.86	0.86	0.87	0.86	0.73	0.67	0.67	0.69	0.67	0.36	0.77	0.77	0.79	0.77	0.55	0.86	0.86	0.88	0.86	0.73	0.86	0.86	0.86	0.86	0.72
2021-10-14.HallAB_2017.relative_abundance.disease_subtype.tsv	0.95	0.95	0.95	0.95	0.89	0.83	0.83	0.84	0.83	0.67	0.81	0.81	0.83	0.81	0.64	0.95	0.95	0.96	0.95	0.91	0.92	0.92	0.92	0.92	0.85
2021-03-31.JieZ_2017.relative_abundance.gender.tsv	0.61	0.61	0.61	0.61	0.19	0.59	0.44	0.35	0.59	0.00	0.65	0.63	0.65	0.65	0.26	0.66	0.66	0.66	0.66	0.29	0.67	0.67	0.68	0.67	0.32
2021-03-31.VogtmannE_2016.relative_abundance.age_category.tsv	0.78	0.77	0.80	0.78	0.55	0.62	0.48	0.39	0.62	0.00	0.70	0.69	0.74	0.70	0.39	0.66	0.63	0.68	0.66	0.25	0.80	0.80	0.80	0.80	0.57
2021-03-31.DhakanDB_2019.relative_abundance.gender.tsv	0.56	0.55	0.56	0.56	0.12	0.61	0.61	0.62	0.61	0.23	0.60	0.59	0.59	0.60	0.19	0.65	0.65	0.65	0.65	0.30	0.69	0.68	0.71	0.69	0.40
2021-03-31.BackhedF_2015.relative_abundance.gender.tsv	0.70	0.69	0.69	0.70	0.26	0.72	0.68	0.69	0.72	0.22	0.75	0.69	0.76	0.75	0.31	0.72	0.68	0.69	0.72	0.22	0.65	0.66	0.69	0.65	0.25
2021-10-14.PehrssonE_2016.relative_abundance.location.tsv	0.96	0.96	0.96	0.96	0.91	0.96	0.96	0.97	0.96	0.92	0.95	0.95	0.95	0.95	0.90	0.99	0.98	0.99	0.99	0.97	0.97	0.97	0.97	0.97	0.95
2021-03-31.HMP_2019_t2d.relative_abundance.gender.tsv	0.97	0.97	0.97	0.97	0.93	0.88	0.88	0.88	0.88	0.75	0.95	0.95	0.95	0.95	0.90	0.97	0.97	0.97	0.97	0.93	0.97	0.97	0.97	0.97	0.94
2021-03-31.HMP_2012.relative_abundance.gender.tsv	0.68	0.68	0.68	0.68	0.36	0.62	0.62	0.63	0.62	0.25	0.64	0.64	0.64	0.64	0.28	0.64	0.64	0.64	0.64	0.27	0.62	0.62	0.62	0.62	0.23
2021-10-14.HallAB_2017.relative_abundance.location.tsv	0.94	0.94	0.94	0.94	0.87	0.88	0.88	0.89	0.88	0.75	0.91	0.91	0.92	0.91	0.81	0.96	0.96	0.96	0.96	0.90	0.96	0.96	0.96	0.96	0.91
2021-03-31.XieH_2016.relative_abundance.birth_order.tsv	0.45	0.44	0.44	0.45	-0.11	0.58	0.58	0.59	0.58	0.17	0.53	0.48	0.53	0.53	0.05	0.54	0.53	0.54	0.54	0.07	0.59	0.59	0.59	0.59	0.18
2021-10-14.JieZ_2017.relative_abundance.study_condition.tsv	0.68	0.68	0.69	0.68	0.37	0.67	0.67	0.67	0.67	0.33	0.68	0.68	0.69	0.68	0.36	0.75	0.75	0.77	0.75	0.52	0.72	0.72	0.73	0.72	0.44
2021-03-31.BrooksB_2017.relative_abundance.gender.tsv	0.79	0.79	0.79	0.79	0.56	0.83	0.83	0.85	0.83	0.67	0.81	0.81	0.82	0.81	0.61	0.84	0.84	0.85	0.84	0.68	0.81	0.80	0.81	0.81	0.59
2021-03-31.DhakanDB_2019.relative_abundance.location.tsv	0.70	0.69	0.74	0.70	0.44	0.72	0.72	0.74	0.72	0.46	0.69	0.68	0.70	0.69	0.38	0.73	0.72	0.74	0.73	0.47	0.69	0.69	0.70	0.69	0.40
2021-03-31.HansenLBS_2018.relative_abundance.uncurated_metadata.tsv	0.56	0.55	0.56	0.56	0.12	0.52	0.48	0.56	0.52	0.07	0.60	0.59	0.60	0.60	0.19	0.56	0.55	0.56	0.56	0.11	0.63	0.63	0.63	0.63	0.26
2021-03-31.XieH_2016.relative_abundance.ever_smoker.tsv	0.58	0.57	0.57	0.58	0.10	0.61	0.47	0.38	0.61	0.00	0.63	0.51	0.45	0.63	0.04	0.61	0.47	0.38	0.61	0.00	0.66	0.66	0.68	0.66	0.32
2021-03-31.HallAB_2017.relative_abundance.disease_subtype.tsv	0.84	0.84	0.84	0.84	0.68	0.84	0.84	0.86	0.84	0.70	0.85	0.84	0.85	0.85	0.69	0.95	0.95	0.96	0.95	0.91	0.89	0.89	0.90	0.89	0.79
2021-03-31.WirbelJ_2018.relative_abundance.study_condition.tsv	0.67	0.67	0.67	0.67	0.34	0.78	0.77	0.85	0.78	0.63	0.68	0.68	0.69	0.68	0.36	0.83	0.83	0.85	0.83	0.68	0.76	0.76	0.76	0.76	0.52
2021-10-14.HMP_2019_ibdmdb.relative_abundance.disease_subtype.tsv	0.80	0.80	0.80	0.80	0.59	0.78	0.78	0.78	0.78	0.55	0.78	0.78	0.78	0.78	0.54	0.90	0.89	0.90	0.90	0.78	0.75	0.75	0.76	0.75	0.51
2021-03-31.CosteaPI_2017.relative_abundance.country.tsv	0.93	0.93	0.94	0.93	0.86	0.83	0.83	0.84	0.83	0.66	0.93	0.93	0.93	0.93	0.86	0.89	0.89	0.90	0.89	0.78	0.95	0.95	0.95	0.95	0.90
2022-04-13.LeeKA_2022.relative_abundance.age_category.tsv	0.65	0.64	0.66	0.65	0.30	0.62	0.61	0.63	0.62	0.24	0.61	0.59	0.66	0.61	0.26	0.61	0.60	0.62	0.61	0.23	0.64	0.64	0.65	0.64	0.28
2021-10-14.YachidaS_2019.relative_abundance.age_category.tsv	0.63	0.62	0.63	0.63	0.24	0.68	0.67	0.69	0.68	0.35	0.67	0.66	0.67	0.67	0.31	0.69	0.69	0.69	0.69	0.37	0.68	0.67	0.68	0.68	0.34
2021-03-31.YuJ_2015.relative_abundance.gender.tsv	0.61	0.49	0.42	0.61	-0.05	0.63	0.49	0.40	0.63	0.00	0.62	0.48	0.39	0.62	-0.04	0.63	0.49	0.40	0.63	0.00	0.60	0.59	0.63	0.60	0.19
2021-10-14.BackhedF_2015.relative_abundance.gender.tsv	0.70	0.64	0.66	0.70	0.13	0.71	0.68	0.68	0.71	0.21	0.74	0.68	0.74	0.74	0.28	0.71	0.58	0.50	0.71	0.00	0.69	0.64	0.66	0.69	0.15
2021-03-31.KosticAD_2015.relative_abundance.gender.tsv	0.75	0.75	0.76	0.75	0.50	0.76	0.76	0.79	0.76	0.55	0.75	0.75	0.76	0.75	0.51	0.81	0.81	0.81	0.81	0.61	0.78	0.78	0.79	0.78	0.56
2021-10-14.PehrssonE_2016.relative_abundance.country.tsv	0.96	0.96	0.97	0.96	0.93	0.96	0.96	0.97	0.96	0.92	0.95	0.95	0.95	0.95	0.90	0.99	0.98	0.99	0.99	0.97	0.97	0.97	0.97	0.97	0.95
2021-04-02.PehrssonE_2016.relative_abundance.country.tsv	0.96	0.96	0.96	0.96	0.91	0.98	0.98	0.99	0.98	0.97	0.98	0.98	0.98	0.98	0.95	0.99	0.98	0.99	0.99	0.97	0.99	0.99	0.99	0.99	0.98
2021-04-02.PehrssonE_2016.relative_abundance.location.tsv	0.96	0.96	0.97	0.96	0.93	0.98	0.98	0.99	0.98	0.97	0.98	0.98	0.98	0.98	0.95	0.97	0.97	0.97	0.97	0.94	0.98	0.98	0.98	0.98	0.97
2021-03-31.LeChatelierE_2013.relative_abundance.gender.tsv	0.68	0.67	0.68	0.68	0.35	0.57	0.57	0.58	0.57	0.14	0.66	0.64	0.66	0.66	0.30	0.55	0.39	0.31	0.55	0.00	0.70	0.70	0.71	0.70	0.40
2021-03-31.SchirmerM_2016.relative_abundance.gender.tsv	0.66	0.66	0.67	0.66	0.33	0.60	0.60	0.60	0.60	0.18	0.67	0.67	0.68	0.67	0.34	0.69	0.69	0.70	0.69	0.37	0.67	0.67	0.68	0.67	0.34
2021-03-31.LiJ_2014.relative_abundance.gender.tsv	0.61	0.61	0.62	0.61	0.24	0.61	0.60	0.62	0.61	0.23	0.57	0.57	0.57	0.57	0.14	0.62	0.62	0.63	0.62	0.25	0.66	0.66	0.66	0.66	0.32
2021-03-31.WirbelJ_2018.relative_abundance.gender.tsv	0.59	0.58	0.60	0.59	0.18	0.59	0.43	0.34	0.59	0.00	0.70	0.67	0.72	0.70	0.37	0.59	0.43	0.34	0.59	0.00	0.70	0.70	0.71	0.70	0.40
2021-03-31.GhensiP_2019.relative_abundance.dental_sample_type.tsv	0.67	0.66	0.66	0.67	0.20	0.70	0.57	0.49	0.70	0.00	0.78	0.74	0.76	0.78	0.41	0.72	0.71	0.75	0.72	0.36	0.75	0.75	0.75	0.75	0.42
2021-10-14.HMP_2019_ibdmdb.relative_abundance.gender.tsv	0.86	0.86	0.86	0.86	0.72	0.76	0.76	0.77	0.76	0.53	0.77	0.77	0.77	0.77	0.54	0.84	0.84	0.84	0.84	0.68	0.74	0.74	0.74	0.74	0.48
2021-03-31.RubelMA_2020.relative_abundance.study_condition.tsv	0.79	0.79	0.79	0.79	0.58	0.80	0.79	0.82	0.80	0.61	0.75	0.75	0.76	0.75	0.51	0.84	0.83	0.84	0.84	0.68	0.80	0.80	0.81	0.80	0.61
2021-03-31.FerrettiP_2018.relative_abundance.family_role.tsv	0.91	0.91	0.91	0.91	0.80	0.81	0.80	0.82	0.81	0.59	0.87	0.87	0.87	0.87	0.73	0.87	0.86	0.88	0.87	0.71	0.89	0.89	0.90	0.89	0.78
2021-03-31.FengQ_2015.relative_abundance.age_category.tsv	0.64	0.63	0.65	0.64	0.25	0.69	0.65	0.74	0.69	0.35	0.54	0.54	0.57	0.54	0.09	0.69	0.67	0.70	0.69	0.34	0.64	0.63	0.64	0.64	0.24
2021-03-31.SchirmerM_2016.relative_abundance.birth_control_pil.tsv	0.65	0.64	0.65	0.65	0.30	0.59	0.59	0.59	0.59	0.18	0.66	0.65	0.66	0.66	0.31	0.66	0.66	0.67	0.66	0.33	0.65	0.65	0.65	0.65	0.30
2021-03-31.ZhuF_2020.relative_abundance.gender.tsv	0.59	0.59	0.59	0.59	0.18	0.65	0.65	0.66	0.65	0.31	0.56	0.56	0.57	0.56	0.14	0.71	0.70	0.72	0.71	0.42	0.66	0.65	0.67	0.66	0.32
2021-10-14.NagySzakalD_2017.relative_abundance.study_condition.tsv	0.69	0.68	0.70	0.69	0.38	0.71	0.71	0.72	0.71	0.43	0.70	0.69	0.75	0.70	0.44	0.71	0.71	0.73	0.71	0.44	0.76	0.76	0.76	0.76	0.52
2021-03-31.VilaAV_2018.relative_abundance.gender.tsv	0.63	0.62	0.62	0.63	0.17	0.64	0.50	0.41	0.64	0.00	0.65	0.53	0.57	0.65	0.06	0.64	0.50	0.41	0.64	0.00	0.63	0.52	0.50	0.63	0.01
2021-03-31.YassourM_2018.relative_abundance.family_role.tsv	0.98	0.98	0.98	0.98	0.97	0.98	0.98	0.98	0.98	0.96	0.98	0.98	0.98	0.98	0.97	0.98	0.98	0.98	0.98	0.96	0.98	0.98	0.98	0.98	0.96
2021-03-31.KeohaneDM_2020.relative_abundance.gender.tsv	0.65	0.64	0.68	0.65	0.32	0.56	0.54	0.55	0.56	0.09	0.58	0.54	0.61	0.58	0.15	0.62	0.61	0.64	0.62	0.25	0.74	0.74	0.75	0.74	0.49
2021-03-31.KeohaneDM_2020.relative_abundance.ever_smoker.tsv	0.54	0.53	0.55	0.54	0.09	0.54	0.51	0.55	0.54	0.09	0.58	0.57	0.60	0.58	0.17	0.52	0.35	0.27	0.52	0.00	0.71	0.71	0.71	0.71	0.42
2021-03-31.ShaoY_2019.relative_abundance.born_method.tsv	0.75	0.75	0.76	0.75	0.51	0.72	0.72	0.73	0.72	0.45	0.75	0.75	0.76	0.75	0.51	0.77	0.77	0.77	0.77	0.53	0.76	0.76	0.76	0.76	0.52
2021-10-14.RubelMA_2020.relative_abundance.gender.tsv	0.71	0.70	0.72	0.71	0.42	0.62	0.61	0.62	0.62	0.22	0.63	0.62	0.65	0.63	0.26	0.66	0.66	0.67	0.66	0.32	0.61	0.61	0.61	0.61	0.21
2021-10-14.CosteaPI_2017.relative_abundance.gender.tsv	0.70	0.70	0.70	0.70	0.39	0.60	0.59	0.60	0.60	0.18	0.66	0.66	0.68	0.66	0.33	0.67	0.67	0.68	0.67	0.33	0.63	0.63	0.64	0.63	0.26
2021-03-31.HMP_2019_ibdmdb.relative_abundance.gender.tsv	0.86	0.86	0.86	0.86	0.71	0.76	0.76	0.77	0.76	0.53	0.77	0.77	0.77	0.77	0.54	0.85	0.85	0.85	0.85	0.70	0.75	0.75	0.75	0.75	0.50
2021-03-31.NagySzakalD_2017.relative_abundance.study_condition.tsv	0.67	0.67	0.69	0.67	0.36	0.73	0.71	0.78	0.73	0.50	0.69	0.68	0.71	0.69	0.40	0.71	0.71	0.72	0.71	0.43	0.75	0.75	0.76	0.75	0.51
2021-03-31.LiuW_2016.relative_abundance.non_westernized.tsv	0.52	0.52	0.52	0.52	0.01	0.64	0.62	0.66	0.64	0.26	0.61	0.57	0.60	0.61	0.21	0.66	0.66	0.67	0.66	0.31	0.68	0.66	0.70	0.68	0.35
2021-03-31.OhJ_2014.relative_abundance.gender.tsv	0.77	0.76	0.78	0.77	0.53	0.77	0.76	0.78	0.77	0.53	0.81	0.81	0.84	0.81	0.65	0.88	0.88	0.88	0.88	0.75
2021-03-31.QinN_2014.relative_abundance.gender.tsv	0.65	0.65	0.65	0.65	0.22	0.66	0.53	0.44	0.66	0.00	0.68	0.63	0.67	0.68	0.21	0.66	0.53	0.44	0.66	0.00	0.65	0.66	0.67	0.65	0.27
2021-03-31.KeohaneDM_2020.relative_abundance.smoker.tsv	0.48	0.48	0.48	0.48	-0.04	0.52	0.35	0.27	0.52	0.00	0.52	0.47	0.59	0.52	0.10	0.52	0.35	0.27	0.52	0.00	0.60	0.59	0.60	0.60	0.20
2021-03-31.BrooksB_2017.relative_abundance.born_method.tsv	0.87	0.87	0.88	0.87	0.70	0.82	0.81	0.83	0.82	0.57	0.81	0.81	0.81	0.81	0.56	0.85	0.85	0.86	0.85	0.66	0.80	0.78	0.81	0.80	0.51
2021-10-14.PehrssonE_2016.relative_abundance.gender.tsv	0.61	0.61	0.62	0.61	0.23	0.64	0.62	0.71	0.64	0.34	0.59	0.58	0.59	0.59	0.18	0.67	0.67	0.68	0.67	0.36	0.61	0.61	0.61	0.61	0.22
2021-04-02.PehrssonE_2016.relative_abundance.gender.tsv	0.62	0.61	0.64	0.62	0.26	0.63	0.61	0.70	0.63	0.33	0.53	0.48	0.53	0.53	0.05	0.66	0.65	0.66	0.66	0.32	0.62	0.62	0.62	0.62	0.24
2021-03-31.YassourM_2018.relative_abundance.age_category.tsv	0.97	0.97	0.98	0.97	0.95	0.97	0.97	0.97	0.97	0.95	0.95	0.95	0.95	0.95	0.90	0.97	0.97	0.98	0.97	0.95	0.98	0.98	0.98	0.98	0.96
2021-10-14.BrooksB_2017.relative_abundance.born_method.tsv	0.87	0.87	0.87	0.87	0.70	0.80	0.79	0.83	0.80	0.55	0.80	0.80	0.80	0.80	0.54	0.86	0.86	0.88	0.86	0.70	0.82	0.81	0.83	0.82	0.58
2021-10-14.YachidaS_2019.relative_abundance.gender.tsv	0.65	0.65	0.65	0.65	0.28	0.60	0.58	0.59	0.60	0.15	0.68	0.67	0.68	0.68	0.33	0.65	0.65	0.66	0.65	0.29	0.68	0.68	0.69	0.68	0.36
2021-03-31.ZeeviD_2015.relative_abundance.gender.tsv	0.62	0.62	0.62	0.62	0.21	0.61	0.46	0.37	0.61	0.00	0.63	0.61	0.62	0.63	0.19	0.64	0.64	0.64	0.64	0.25	0.61	0.60	0.60	0.61	0.16
2021-03-31.PasolliE_2019.relative_abundance.gender.tsv	0.64	0.63	0.65	0.64	0.28	0.61	0.58	0.70	0.61	0.30	0.68	0.66	0.71	0.68	0.39	0.61	0.61	0.62	0.61	0.23	0.67	0.67	0.67	0.67	0.34
2021-03-31.QinJ_2012.relative_abundance.study_condition.tsv	0.64	0.64	0.64	0.64	0.28	0.66	0.66	0.66	0.66	0.33	0.70	0.70	0.70	0.70	0.40	0.66	0.66	0.66	0.66	0.33	0.68	0.68	0.69	0.68	0.37
2021-10-14.HansenLBS_2018.relative_abundance.uncurated_metadata.tsv	0.52	0.51	0.52	0.52	0.04	0.52	0.48	0.56	0.52	0.07	0.55	0.54	0.55	0.55	0.10	0.53	0.53	0.53	0.53	0.07	0.65	0.65	0.66	0.65	0.31
